key,value
"Destruction/Damage/Vandalism of Property",217226
"Weapon Law Violations",173324
"Simple Assault",108810
"Drug/Narcotic Violations",48819
"Kidnapping/Abduction",46011
"Burglary/Breaking & Entering",39454
"All Other Larceny",27798
"Intimidation",21863
"Drug Equipment Violations",20501
"Motor Vehicle Theft",12681
"Robbery",11180
"Murder and Nonnegligent Manslaughter",9497
"Stolen Property Offenses",8195
"Shoplifting",8130
"Theft From Motor Vehicle",6544
"Theft From Building",6315
"Criminal Sexual Contact",3989
"Arson",3442
"False Pretenses/Swindle/Confidence Game",2390
"Animal Cruelty",2025
"Impersonation",1372
"Theft of Motor Vehicle Parts or Accessories",1068
"Counterfeiting/Forgery",1013
"Rape",853
"Pocket-picking",697
"Purse-snatching",642
"Identity Theft",615
"Pornography/Obscene Material",602
"Credit Card/Automated Teller Machine Fraud",575
"Extortion/Blackmail",436
"Negligent Manslaughter",414
"Statutory Rape",341
"Human Trafficking, Commercial Sex Acts",238
"Sodomy",201
"Assisting or Promoting Prostitution",193
"Bribery",172
"Embezzlement",168
"Prostitution",130
"Sexual Assault With An Object",109
"Human Trafficking, Involuntary Servitude",94
"Wire Fraud",62
"Purchasing Prostitution",57
"Incest",47
"Hacking/Computer Invasion",28
"Theft From Coin-Operated Machine or Device",22
"Flight to Avoid Prosecution",14
"Operating/Promoting/Assisting Gambling",13
"Federal Liquor Offenses",10
"Welfare Fraud",6
"Betting/Wagering",5
"Gambling Equipment Violation",4
"Failure to Register as a Sex Offender",2
"Smuggling Aliens",2
"Illegal Entry into the United States",1
"Aggravated Assault",0
"All Other Offenses",0
"Bad Checks",0
"Curfew/Loitering/Vagrancy Violations",0
"Disorderly Conduct",0
"Driving Under the Influence",0
"Drunkenness",0
"Espionage",0
"Explosives Violation",0
"Export Violations",0
"Failure to Appear",0
"False Citizenship",0
"Family Offenses, Nonviolent",0
"Federal Resource Violations",0
"Federal Tobacco Offenses",0
"Flight to Avoid Deportation",0
"Harboring Escapee/Concealing from Arrest",0
"Import Violations",0
"Justifiable Homicide",0
"Liquor Law Violations",0
"Money Laundering",0
"Not Specified",0
"Peeping Tom",0
"Perjury",0
"Re-entry after Deportation",0
"Sports Tampering",0
"Treason",0
"Trespass of Real Property",0
"Violation of National Firearm Act of 1934",0
"Weapons of Mass Destruction",0
"Wildlife Trafficking",0